text,sentiment,topic
slide giáo trình đầy đủ .,positive,program
"nhiệt tình giảng dạy , gần gũi với sinh viên .",positive,lecturer
đi học đầy đủ full điểm chuyên cần .,negative,program
chưa áp dụng công nghệ thông tin và các thiết bị hỗ trợ cho việc giảng dạy .,negative,lecturer
"thầy giảng bài hay , có nhiều bài tập ví dụ ngay trên lớp .",positive,lecturer
"giảng viên đảm bảo thời gian lên lớp , tích cực trả lời câu hỏi của sinh viên , thường xuyên đặt câu hỏi cho sinh viên .",positive,lecturer
"thời lượng học quá dài , không đảm bảo tiếp thu hiệu quả .",negative,program
"nội dung môn học có phần thiếu trọng tâm , hầu như là chung chung , khái quát khiến sinh viên rất khó nắm được nội dung môn học .",negative,program
cần nói rõ hơn bằng cách trình bày lên bảng thay vì nhìn vào slide .,negative,program
thầy rất tận tình và đi dạy rất đúng giờ .,positive,lecturer
dễ bị áp lực .,negative,other
môn học còn dễ cần nâng độ khó lên nữa .,negative,program
"có thể cho sinh viên đi thăm quan nhiều công ty xem quy mô và cách làm việc , để giúp hiểu rõ hơn vê ngành mình đang học .",negative,program
hài lòng về tất cả .,positive,other
"nhiệt tình , vui vẻ .",positive,lecturer
thấy nhiệt tình trong việc trao đổi giúp đỡ về học tập .,positive,lecturer
phong cách giảng bài của thầy rất gần gũi với sinh viên !,positive,lecturer
giảng dạy kết hợp các hoạt động giải trí có hiệu quả .,positive,lecturer
cần tạo các buổi seminar để sinh viên có thể hiểu sâu thêm về các vấn đề trong chuyên ngành nhưng không có trong môn học .,negative,program
tiết học thoải mái .,positive,lecturer
"thầy nhiệt tình , quan tâm tới sinh viên .",positive,lecturer
"giảng dạy nhiệt tình , hướng dẫn chi tiết đến lúc sinh viên hiểu !",positive,lecturer
"chưa có nhiều tiết làm bài tập , chữa bài tập trên lớp .",negative,program
tài liệu được bổ sung nhiều và đầy đủ trên moodle .,positive,program
giảng viên phải nên cho ví dụ cụ thể những phần quan trọng nên nói kỹ có thể lấy ví dụ minh họa tránh việc lập đi lập lại nhiều lần sẽ tạo cảm giác chán cho sinh viên .,negative,lecturer
nên biên soạn một tài liệu của chính trường ta .,negative,program
không giúp đỡ sinh viên trong những vấn đề xung quanh .,negative,lecturer
"bài tập đa dạng , cụ thể .",positive,program
"nội dung giảng viên yêu câu seminar hầu như không có tài liệu tham khảo và rất ít ứng dụng trong thực tế , đề nghị có sự thay đổi trong những năm học tới .",negative,program
slide up đầy đủ trước mỗi buổi học .,positive,program
"nội dung giảng dạy quá nhàm chán , khô khan .",negative,program
lượng kiến thức quá nhiều trong một học kỳ .,negative,program
thầy chép bảng nhiều .,negative,lecturer
"thầy tận tình hướng dẫn cách làm , giải quyết những thắc mắc của sinh viên .",positive,lecturer
"chúc các thầy cô , anh chị làm việc vui vẻ !",positive,other
"hay , nhiệt tình , dễ hiểu .",positive,lecturer
"mặc dù nhiệt tình nhưng khi truyền đạt thì lại khó hiểu , sử dụng ngôn từ gây khó khăn cho việc hiểu bài .",negative,lecturer
"thầy dạy khá hay , cung cấp nhiều thông tin liên quan đến môn học , đưa ra nhiều hướng giải quyết khi sinh viên gặp vấn đề khó khăn với đồ án !",positive,lecturer
hy vọng học kỳ sau có thể học được với cô .,positive,lecturer
nhiều khi em lên lớp học môn đặc tả hình thức giống như lên lớp học mà không biết mình học cái gì .,negative,program
trong khi giảng nói nhỏ quá .,negative,lecturer
thực hành khó hiểu .,negative,program
"thầy rất tận tâm nhiệt tình , quan tâm đến sinh viên , giảng bài dễ hiểu , kiến thức sâu rộng am hiểu cao .",positive,lecturer
"cô dạy với nhiệt huyết của mình , dù như thế nào , cô vẫn luôn mỉm cười và kiên trì giảng bài cho chúng em đến khi chúng em hiểu .",positive,lecturer
"cô lên lớp đúng giờ , giảng bài rất dễ hiểu cho sinh viên .",positive,lecturer
"những thông tin cần thiết như doubledot thời gian dealine , cách nộp bài thường không dặn lớp thực hành thứ hai .",negative,lecturer
"thầy nhiệt tình , dễ chịu .",positive,lecturer
"giảng viên chưa đi sâu vào bản chất của vấn đề , em chỉ học thôi mà không biết bản chất của nó là gì nó có ứng dụng gì sau này cho chuyên nghành của em .",negative,lecturer
đặc biệt hơn là thầy đã bỏ rất nhiều công sức trong việc ra bài tập và chấm điểm một cách rõ ràng và minh bạch .,positive,lecturer
cô rất nhiệt tình và tận dụng tốt thời gian .,positive,program
"giảng viên tận tâm , nhiệt huyết trong giảng dạy .",positive,lecturer
"thầy nhiệt tình , gần gũi .",positive,lecturer
"giảng viên tận tâm , giảng dễ hiểu , dễ tiếp thu .",positive,lecturer
bài tập và có code tham khảo .,positive,program
"cần nâng cấp hệ thống wifi , vì khi vào phòng thực hành , sinh viên không thể truy cập internet , buộc phải xin phép ra ngoài để làm bài .",negative,facility
tài liệu không chi tiết lắm .,negative,program
"tận tâm , nhiệt tình , vui tính , dễ gần với sinh viên .",positive,lecturer
thầy dạy rất hay và nhiệt tình .,positive,lecturer
"thầy dạy không đúng giờ , không hướng dẫn sinh viên thực hành .",negative,lecturer
giúp đỡ học sinh quá ít .,negative,lecturer
cô dạy buồn ngủ quá .,negative,lecturer
nên kinh mong nội dung môn học được giảm tải cho phù hợp hơn với đặc thù của một trường công nghệ thông tin .,negative,program
thầy tận tình vui tính .,positive,lecturer
cô lại kiểu khó tính nữa .,negative,lecturer
tạo hứng thú cho sinh viên .,positive,lecturer
cô giảng hay cuốn hút và truyền đạt dễ hiểu .,positive,lecturer
có hứng thú học .,positive,lecturer
"giảng viên hướng dẫn cụ thể , chi tiết .",positive,lecturer
giáo trình quá ít và nội dung không khác nhau là mấy .,negative,program
"giáo viên nghỉ dạy liên tục , cuối học kỳ lại tăng học bù , những tiết học bù đó đã ảnh hưởng đến những đồ án , và trễ deadline .",negative,lecturer
"giáo viên lúc dạy lúc không , không dạy cũng không thông báo , sinh viên tốn thời gian , công sức , tiền bạc rồi ngồi đợi và đi về .",negative,lecturer
"cần có một phòng máy tốt hơn , hiện đại hơn .",negative,facility
thầy nên cho làm bài tập tương tự nhau nhiều hơn một vài bài để tránh tình trạng quên hoặc các dạng tựa nhau nhưng hơi khác cách làm .,negative,lecturer
"không ngờ môn này lại chán đến như vậy , không học được gì từ môn này , thầy dạy chán kinh khủng , hay đi trễ từ 30 - 45 phút , không nhiệt tình .",negative,lecturer
giảng viên đánh giá sai điểm và năng lực của học sinh .,negative,lecturer
không đáp ứng được đề cương môn học đề ra .,negative,program
thầy nên hướng dẫn thực hành nhiều hơn .,negative,lecturer
"giảng viên thân thiện , quan tâm tới sinh viên .",positive,lecturer
"môn lập trình hướng đối tượng nên cập nhật thêm những nội dung mới , dễ hiểu và giảng giải cụ thể hơn .",negative,program
"giáo viên nhiệt tình , tâm huyết , khả năng truyền đạt tốt .",positive,lecturer
thầy dạy rất tốt và nhiệt tình .,positive,lecturer
"cô nói hơi nhỏ , nếu lớp ồn sẽ khó nghe .",negative,lecturer
"bài tập cô đưa ra nhiều , và khó tìm hiểu , với kiến thực hiện tại của sinh viên thì khó có thể tìm hiểu và làm tốt bài tập cô ra .",negative,lecturer
bài tập và hoạt động nhóm còn ít .,negative,program
"giảng viên rất nhiệt tình , phương pháp giảng dạy hay , sinh viên nắm bắt kiến thức ngay trên lớp .",positive,lecturer
cô hướng dẫn thực hành khá đầy đủ .,positive,lecturer
được học nhiều kinh nghiệm từ thầy wzjwz163 .,positive,lecturer
"kiến thức của thầy rất tốt , bảo đảm giờ lên lớp .",positive,lecturer
hiện tại em chưa thấy tác dụng gì nhiều khi học môn này .,negative,program
cải thiện lại cơ sở vật chất máy chiếu trong phòng học .,negative,facility
dạy không phù hợp với cách học của em .,negative,lecturer
giải thích nội dung mới rõ ràng .,positive,lecturer
lớp học quá đông !,negative,program
"môn căn bản mà thầy không dạy cho sinh viên kỹ , gây không hiểu , mất căn bản .",negative,program
"giảng viên chưa cho bài tập về nhà để sinh viên làm nên cho 5 bài mỗi chương , không cần chữa chỉ cần đáp án .",negative,lecturer
"mà hiện tại trường ta chưa có , đây là thiệt thòi lớn đối với tụi em .",negative,program
tôi cảm thấy giảng viên dạy rất tốt .,positive,lecturer
"không biết thầy nào dạy chính thức , mà học thường nghỉ không thông báo trước để sinh viên đứng chờ sắp hết tiết rồi tự về nhiều lần .",negative,lecturer
cần có sự tương tác giữa giảng viên và sinh viên nhiều hơn .,negative,other
giảng viên thân thiện nhiệt tình cởi mở .,positive,lecturer
